Designator,Mid X,Mid Y,Layer,Rotation
C4,-11.6078,15.1892,bottom,90
C7,-10.16,30.1244,bottom,0
C8,-8.0518,12.8016,bottom,0
C9,-15.9004,27.5844,bottom,180
C13,-15.875,34.0868,bottom,180
C26,-5.750718,43.908529,bottom,-90
C27,-9.6266,32.1818,bottom,-90
C36,-13.8684,28.3464,bottom,-90
C37,-8.4328,26.416,bottom,90
C42,-12.0904,42.8752,bottom,180
D4,-13.6398,41.402,bottom,0
D6,-15.6464,28.829,bottom,180
FID2,-9.255918,54.830529,bottom,180
FID4,-17.526,-0.762,bottom,180
FID6,-5.334,-0.762,bottom,180
Q1,-15.1384,54.5338,bottom,-90
R2,-16.1798,11.8364,bottom,90
R3,-17.0942,11.8384,bottom,-90
R6,-12.8778,28.3464,bottom,90
R8,-6.858,54.2798,bottom,90
R13,-12.5476,55.4228,bottom,-90
R15,-12.329312,52.239723,bottom,0
U1,-10.6426,27.5336,bottom,-90
U2,-11.0998,9.4234,bottom,180
U4,-15.4178,31.5976,bottom,90
U5,-14.478,47.285,bottom,-90
U8,-8.763,48.006,bottom,-90
C1,14.6558,26.7208,top,90
C2,9.8298,27.9908,top,90
C3,16.1798,13.335,top,0
C5,10.541,24.384,top,90
C6,9.6774,24.384,top,90
C10,8.128,13.2842,top,-90
C11,7.239,13.2842,top,-90
C12,16.1036,15.3416,top,-90
C15,16.7132,19.2024,top,-90
C16,11.4046,24.384,top,90
C17,6.1976,19.7612,top,180
C18,6.6548,15.4178,top,-90
C19,9.017,13.2842,top,-90
C21,8.636,42.8752,top,180
C22,8.636,43.815,top,180
C24,15.758318,39.057129,top,-90
C25,16.723518,39.057129,top,-90
C28,16.0528,43.18,top,180
C29,7.0866,33.147,top,180
C30,7.0866,32.1818,top,180
C31,15.494,41.3232,top,90
C32,12.192,53.7972,top,0
C33,11.6052,42.8752,top,0
C34,11.5824,43.8404,top,0
D1,16.6878,41.5544,top,90
D2,9.779,55.88,top,0
D3,6.604,55.88,top,-90
D5,16.1544,8.128,top,-90
FID1,13.243718,45.330929,top,0
FID3,17.526,-0.762,top,0
FID5,5.334,-0.762,top,0
J1,11.43,1.143,top,0
J2,1.27,52.07,top,0
J3,19.05,52.07,top,0
PTC1,16.1544,11.2776,top,-90
R1,9.8298,26.162,top,90
R4,11.0744,12.7,top,90
R5,10.166401,12.7,top,90
R7,11.643518,32.199129,top,0
R9,16.7132,21.4122,top,-90
R10,13.6906,11.0998,top,0
R11,11.110118,45.254729,top,90
R12,6.1976,18.8722,top,0
R14,5.207,55.88,top,90
R16,8.1534,24.384,top,90
R17,10.5156,53.8226,top,90
R18,9.398,53.8226,top,90
R19,8.3058,53.8226,top,90
R20,13.6906,8.6614,top,180
R21,15.6718,52.5272,top,0
R22,13.6906,9.8806,top,180
R23,6.1956,17.9578,top,0
R24,13.6887,7.4422,top,0
R25,15.150718,32.4612,top,0
RN1,8.874918,48.328129,top,90
SW1,7.366,9.271,top,-90
SW2,15.621,55.626,top,0
U3,11.4046,18.6944,top,180
U6,10.3632,37.7952,top,90
Y1,12.1666,27.1272,top,-90
